Índice de día,Sesiones,Transacciones,Sesiones google / cpc,Transacciones google / cpc,CPC,Coste
01/11/2019,2279,1,91,0,0.300761904761905,31.58
02/11/2019,1402,1,85,0,0.335934065934066,30.57
03/11/2019,1566,2,91,1,0.272583333333333,32.71
04/11/2019,2535,5,121,1,0.39378640776699,40.56
05/11/2019,2908,6,145,1,0.304890510948905,41.77
06/11/2019,3001,3,169,0,0.38,53.2
07/11/2019,2903,4,151,0,0.286940298507463,38.45
08/11/2019,2319,2,123,0,0.308189655172414,35.75
09/11/2019,1633,2,83,1,0.342685185185185,37.01
10/11/2019,1599,2,85,0,0.384351851851852,41.51
11/11/2019,2766,1,141,0,0.308550724637681,42.58
12/11/2019,2805,0,146,0,0.309699248120301,41.19
13/11/2019,4034,5,121,0,0.382844827586207,44.41
14/11/2019,3505,7,115,0,0.312053571428571,34.95
15/11/2019,2531,4,121,0,0.285163934426229,34.79
16/11/2019,1829,3,87,0,0.298260869565217,34.3
17/11/2019,1821,6,91,0,0.377570093457944,40.4
18/11/2019,3211,5,112,0,0.387222222222222,41.82
19/11/2019,3415,4,156,1,0.328121212121212,54.14
20/11/2019,3240,2,137,0,0.336535433070866,42.74
21/11/2019,3287,3,133,0,0.318615384615385,41.42
22/11/2019,2857,3,151,1,0.29048951048951,41.54
23/11/2019,2173,5,106,0,0.344846153846154,44.83
24/11/2019,2406,2,109,0,0.287931034482759,41.75
25/11/2019,3379,5,163,0,0.271788079470199,41.04
26/11/2019,3471,3,160,1,0.341632653061224,50.22
27/11/2019,2849,2,144,0,0.257936507936508,32.5
28/11/2019,2807,4,131,0,0.237619047619048,39.92
29/11/2019,3070,5,183,0,0.342128712871287,69.11
30/11/2019,2107,3,91,1,0.324615384615385,37.98
01/12/2019,2117,5,131,0,0.356296296296296,57.72
02/12/2019,4500,8,260,0,0.262955465587044,64.95
03/12/2019,3534,8,182,0,0.356474358974359,55.61
04/12/2019,3217,4,176,0,0.449022988505747,78.13
05/12/2019,2823,4,139,0,0.319384615384615,41.52
06/12/2019,2670,4,146,0,0.424067796610169,50.04
07/12/2019,1778,5,115,0,0.34,45.56
08/12/2019,1853,5,121,0,0.341946308724832,50.95
09/12/2019,2962,5,152,0,0.334806201550388,43.19
